group,dataset,split,epochs,lr,setting,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
train_only,earnings22,test,1,9em4,train-layer-5-only,1,0.1719870106,,0.0250393154,0.0398259911,0.1071217041,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-5-only_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-4,1,0.1723954823,,0.0305332598,0.0342095051,0.1076527174,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-4_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-2,1,0.1731511550,,0.0304311419,0.0347405184,0.1079794947,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-2_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-1,1,0.1738659804,,0.0275309928,0.0402957335,0.1060392541,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-1_1.pkl
train_only,earnings22,test,1,9em4,train-layer-2-only,1,0.1740702163,,0.0262851541,0.0391928599,0.1085922023,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-2-only_1.pkl
layer_type,earnings22,test,1,9em6,train-feed-forward-only,1,0.1745399587,,0.0262034598,0.0394787901,0.1088577089,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em6-train-feed-forward-only_1.pkl
train_only,earnings22,test,1,9em5,train-layer-4-only,1,0.1746012295,,0.0255090579,0.0398464146,0.1092457570,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-4-only_1.pkl
train_only,earnings22,test,1,9em5,train-layer-2-only,1,0.1749688540,,0.0248759267,0.0413169128,0.1087760145,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-2-only_1.pkl
train_only,earnings22,test,1,9em5,train-layer-3-only,1,0.1751526663,,0.0251822805,0.0411126769,0.1088577089,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-3-only_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-2,1,0.1758062210,,0.0234666993,0.0425014807,0.1098380410,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-2_1.pkl
train_only,earnings22,test,1,9em5,train-layer-5-only,1,0.1758266446,,0.0258766824,0.0394175194,0.1105324429,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-5-only_1.pkl
layer_type,earnings22,test,1,9em6,train-attention-only,1,0.1763780814,,0.0247329616,0.0427874109,0.1088577089,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em6-train-attention-only_1.pkl
layer_type,earnings22,test,1,9em6,train-convolution-only,1,0.1763780814,,0.0268978617,0.0396013316,0.1098788881,48963,1/1,layer_type/earnings22-test-epoch-1-lr-9em6-train-convolution-only_1.pkl
train_only,earnings22,test,1,9em4,train-layer-0-only,1,0.1765414701,,0.0244878786,0.0420317383,0.1100218532,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-0-only_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-3,1,0.1765823173,,0.0319016400,0.0345975533,0.1100831240,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-3_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-ctc-decoder,1,0.1766435880,,0.0256111758,0.0443396034,0.1066928089,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-ctc-decoder_1.pkl
train_only,earnings22,test,1,9em5,train-layer-1-only,1,0.1768069767,,0.0243040663,0.0429099524,0.1095929579,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-1-only_1.pkl
train_only,earnings22,test,1,9em4,train-layer-1-only,1,0.1776647673,,0.0251414333,0.0418479260,0.1106754080,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-layer-1-only_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-layer-0,1,0.1778690031,,0.0276739579,0.0391520127,0.1110430325,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-layer-0_1.pkl
train_only,earnings22,test,1,9em6,train-layer-3-only,1,0.1781549333,,0.0246104201,0.0444417213,0.1091027919,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-3-only_1.pkl
train_only,earnings22,test,1,9em5,train-layer-0-only,1,0.1788697588,,0.0244470314,0.0441966383,0.1102260891,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-layer-0-only_1.pkl
train_only,earnings22,test,1,9em6,train-layer-2-only,1,0.1790535711,,0.0245287258,0.0446051100,0.1099197353,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-2-only_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-4,1,0.1791352654,,0.0339439985,0.0323305353,0.1128607316,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-4_1.pkl
train_only,earnings22,test,1,9em6,train-layer-4-only,1,0.1791556890,,0.0245899965,0.0444621449,0.1101035476,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-4-only_1.pkl
train_only,earnings22,test,1,9em4,train-ctc-decoder-only,1,0.1797479730,,0.0411943713,0.0282458183,0.1103077834,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-ctc-decoder-only_1.pkl
train_only,earnings22,test,1,9em6,train-layer-5-only,1,0.1800339032,,0.0282458183,0.0384576108,0.1133304740,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-5-only_1.pkl
progressive_top,earnings22,test,1,9em4,freeze-subsampling-through-layer-5,1,0.1800543267,,0.0407042052,0.0292057268,0.1101443947,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-freeze-subsampling-through-layer-5_1.pkl
train_only,earnings22,test,1,9em6,train-layer-0-only,1,0.1805853400,,0.0237934767,0.0469742459,0.1098176174,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-0-only_1.pkl
train_only,earnings22,test,1,9em6,train-layer-1-only,1,0.1808508466,,0.0244674550,0.0457692543,0.1106141372,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-layer-1-only_1.pkl
train_only,earnings22,test,1,9em6,train-subsampling-only,1,0.1831791353,,0.0239364418,0.0479137308,0.1113289627,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-subsampling-only_1.pkl
train_only,earnings22,test,1,9em5,train-subsampling-only,1,0.1854053060,,0.0250801626,0.0448910402,0.1154341033,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-subsampling-only_1.pkl
train_only,earnings22,test,1,9em4,train-subsampling-only,1,0.1892245165,,0.0255090579,0.0450340053,0.1186814533,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em4-train-subsampling-only_1.pkl
progressive_top,earnings22,test,1,9em5,freeze-subsampling-through-layer-5,1,0.1945754958,,0.0519780242,0.0240794069,0.1185180647,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-5_1.pkl
train_only,earnings22,test,1,9em5,train-ctc-decoder-only,1,0.1963931949,,0.0538161469,0.0236096644,0.1189673835,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em5-train-ctc-decoder-only_1.pkl
train_only,earnings22,test,1,9em6,train-ctc-decoder-only,1,0.2093825950,,0.0613932970,0.0217919654,0.1261973327,48963,1/1,train_only/earnings22-test-epoch-1-lr-9em6-train-ctc-decoder-only_1.pkl
progressive_top,earnings22,test,1,9em6,freeze-subsampling-through-layer-5,1,0.2100157262,,0.0615158385,0.0217306946,0.1267691931,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em6-freeze-subsampling-through-layer-5_1.pkl
progressive_top,earnings22,test,1,9em4,train-all,1,0.3257561832,,0.0260196475,0.2052161836,0.0945203521,48963,1/1,progressive_top/earnings22-test-epoch-1-lr-9em4-train-all_1.pkl
layer_drop_lr_sweep,earnings22,test,1,9em4,drop-none,1,0.3677879215,,0.0215060352,0.2642403448,0.0820415416,48963,1/1,layer_drop_lr_sweep/earnings22-test-epoch-1-lr-9em4-drop-none_1.pkl
